(2.48734e-05,8.24844e-18)
(-0.000771322,-1.81376e-17)
(0.00122815,6.67107e-18)
(-0.00121715,-5.8591e-17)
(0.000739554,2.59587e-17)
(2.59038e-05,2.05594e-18)
(-0.000787688,-1.32132e-17)
(0.00125331,8.33862e-18)
(-0.00124237,3.39129e-18)
(0.000754285,3.41204e-17)
(2.69885e-05,-3.21552e-19)
(-0.000804452,-1.80404e-17)
(0.00128005,8.88773e-17)
(-0.00126812,-7.48877e-17)
(0.000769947,3.67833e-17)
(2.81543e-05,2.42433e-18)
(-0.000822263,-2.37806e-17)
(0.00130742,2.17236e-17)
(-0.0012955,-7.88606e-17)
(0.000785932,3.60032e-17)
(2.93853e-05,5.65029e-18)
(-0.000840554,-2.56287e-17)
(0.00133653,2.135e-17)
(-0.00132354,-5.1154e-18)
(0.000802941,-5.73606e-18)
(3.07113e-05,1.85662e-18)
(-0.000860008,-2.65361e-17)
(0.00136641,2.71818e-17)
(-0.00135338,-8.82754e-17)
(0.000820345,4.29938e-17)
(3.2116e-05,3.37343e-18)
(-0.000880043,-2.85785e-17)
(0.00139822,2.85013e-17)
(-0.00138402,-1.46701e-17)
(0.000838884,2.54567e-18)
(3.36331e-05,-2.08424e-18)
(-0.00090138,-3.04834e-17)
(0.00143097,3.80311e-17)
(-0.00141667,-2.5293e-17)
(0.000857905,7.40435e-18)
(3.52458e-05,1.36727e-19)
(-0.00092342,-4.10639e-17)
(0.00146588,4.73072e-17)
(-0.00145029,-2.79068e-17)
(0.00087819,5.42007e-17)
(3.69925e-05,6.50851e-18)
(-0.000946928,-4.49455e-17)
(0.00150193,9.32726e-17)
(-0.00148617,-3.08006e-17)
(0.000899062,5.00215e-18)
(3.88564e-05,8.66289e-18)
(-0.000971288,-4.93461e-17)
(0.00154042,5.36392e-17)
(-0.00152323,1.17282e-17)
(0.000921353,3.26041e-17)
(4.08814e-05,3.76871e-18)
(-0.000997316,8.77087e-18)
(0.00158029,5.97225e-17)
(-0.00156283,-4.38001e-17)
(0.000944359,1.55714e-17)
(4.30514e-05,7.79053e-18)
(-0.00102438,-3.36427e-17)
(0.00162293,2.69557e-17)
(-0.00160388,-9.00272e-17)
(0.000968967,5.631e-18)
(4.54174e-05,1.36644e-17)
(-0.00105336,-3.18557e-18)
(0.00166727,6.89563e-17)
(-0.00164783,-4.36231e-17)
(0.00099445,-1.82234e-17)
(4.79641e-05,1.00467e-17)
(-0.0010836,-3.27404e-17)
(0.00171478,-2.31498e-17)
(-0.00169354,-4.99195e-17)
(0.00102176,1.37805e-17)
(5.0752e-05,8.16439e-18)
(-0.00111606,-6.63938e-17)
(0.00176437,2.88319e-17)
(-0.00174259,-6.06759e-18)
(0.00105014,4.89265e-17)
(5.37681e-05,5.81099e-18)
(-0.00115008,-5.79877e-18)
(0.00181764,8.76786e-17)
(-0.00179381,-6.30011e-17)
(0.00108061,2.20447e-17)
(5.70847e-05,5.0014e-18)
(-0.00118668,-4.11026e-17)
(0.00187347,3.96028e-17)
(-0.0018489,3.5002e-17)
(0.00111241,2.88319e-17)
(6.06927e-05,5.41381e-18)
(-0.00122522,-1.45177e-17)
(0.00193361,1.05546e-16)
(-0.00190668,-2.09897e-17)
(0.00114664,-8.77774e-18)
(6.46805e-05,1.26295e-17)
(-0.00126682,-1.06571e-17)
(0.00199693,-1.39949e-17)
(-0.00196901,3.58644e-17)
(0.00118251,3.72735e-17)
(6.90459e-05,-5.95517e-18)
(-0.00131084,3.18736e-17)
(0.00206537,5.53053e-17)
(-0.00203469,-3.94405e-17)
(0.00122123,-1.77295e-17)
(7.38991e-05,-8.10786e-18)
(-0.00135853,-1.24523e-17)
(0.0021378,8.7617e-18)
(-0.00210579,-1.13771e-16)
(0.00126199,2.55589e-17)
(7.92495e-05,-8.87814e-18)
(-0.00140928,-6.35801e-17)
(0.00221638,2.18718e-17)
(-0.00218111,-3.99178e-18)
(0.00130615,6.7703e-17)
(8.52378e-05,-3.61367e-18)
(-0.00146451,-3.39972e-17)
(0.00230001,3.49559e-17)
(-0.00226296,-7.70857e-17)
(0.00135287,3.31198e-17)
(9.18928e-05,-1.74378e-18)
(-0.00152366,-1.29367e-19)
(0.00239117,4.53888e-17)
(-0.00235019,-8.74274e-17)
(0.00140369,3.64596e-17)
(9.93997e-05,4.47634e-18)
(-0.00158837,-1.06681e-17)
(0.00248882,5.51025e-17)
(-0.00244544,-2.20484e-17)
(0.00145778,-7.82768e-18)
(0.00010782,7.18504e-18)
(-0.00165816,-5.64747e-17)
(0.00259583,5.526e-17)
(-0.00254763,-2.72688e-17)
(0.00151688,4.67923e-17)
(0.000117406,-3.50448e-18)
(-0.001735,-1.09906e-17)
(0.00271134,-2.3993e-18)
(-0.00265985,-5.03163e-17)
(0.0015802,5.92965e-17)
(0.000128274,4.82661e-18)
(-0.00181859,-3.08618e-17)
(0.00283873,1.35729e-17)
(-0.00278119,-5.76669e-17)
(0.00164977,1.01172e-17)
(0.000140783,1.05616e-17)
(-0.0019113,-4.25791e-17)
(0.00297745,1.06373e-16)
(-0.00291536,-6.20101e-17)
(0.00172487,5.61523e-18)
(0.000155148,2.36026e-17)
(-0.00201318,-5.11729e-17)
(0.00313165,6.83669e-17)
(-0.00306177,2.53368e-17)
(0.00180793,1.97305e-18)
(0.000171899,2.57309e-17)
(-0.00212725,-2.01205e-17)
(0.00330131,2.03942e-17)
(-0.003225,2.58795e-17)
(0.00189838,1.15106e-17)
(0.000191434,1.14649e-17)
(-0.00225409,1.58341e-17)
(0.00349176,3.20072e-17)
(-0.00340507,-8.83816e-17)
(0.00199921,-4.26535e-18)
(0.000214584,1.20551e-17)
(-0.00239778,-6.28933e-17)
(0.00370393,4.32768e-17)
(-0.00360792,-4.45837e-17)
(0.00211014,-3.24823e-17)
(0.000242094,6.57957e-18)
(-0.00255993,-6.08763e-17)
(0.00394506,-6.88516e-18)
(-0.00383466,-8.64131e-18)
(0.00223499,-1.55402e-17)
(0.000275363,-2.78642e-18)
(-0.00274639,-3.20348e-17)
(0.00421788,-4.9139e-17)
(-0.00409346,-3.1641e-17)
(0.00237404,6.75481e-17)
(0.000315845,-7.71303e-18)
(-0.00296076,-9.0634e-18)
(0.00453289,1.01465e-16)
(-0.0043875,-5.23756e-17)
(0.00253238,3.87759e-17)
(0.000366095,5.99846e-19)
(-0.00321214,-2.16694e-17)
(0.00489642,5.0227e-17)
(-0.00472885,2.02724e-20)
(0.00271128,1.34398e-17)
(0.000429149,-2.44177e-18)
(-0.00350828,-3.54272e-17)
(0.00532508,7.67882e-17)
(-0.00512493,-2.01023e-17)
(0.00291795,2.10804e-17)
(0.000510186,6.44401e-18)
(-0.00386495,-1.30452e-18)
(0.00583287,1.98414e-17)
(-0.00559519,-3.4149e-17)
(0.00315543,2.43818e-17)
(0.000616188,1.66929e-17)
(-0.00429931,-4.36409e-17)
(0.00644927,2.98006e-17)
(-0.0061563,5.67297e-19)
(0.0034344,-1.41785e-17)
(0.000759194,3.45523e-18)
(-0.00484281,-1.19256e-17)
(0.00720646,1.97617e-19)
(-0.00684353,-8.10215e-17)
(0.00376088,3.87207e-17)
(0.000957698,-5.42997e-18)
(-0.00553734,1.40952e-18)
(0.0081652,-2.257e-17)
(-0.00769577,-6.6651e-17)
(0.00415041,2.66102e-17)
(0.00124552,-4.1752e-18)
(-0.00645842,-7.28064e-17)
(0.00940787,7.4978e-17)
(-0.00878709,-3.72176e-17)
(0.00461077,8.89275e-19)
(0.00168332,7.19698e-18)
(-0.00772795,-5.52473e-17)
(0.0110882,3.6959e-17)
(-0.0102171,4.80023e-18)
(0.00515358,1.4645e-17)
(0.00239721,1.25172e-17)
(-0.0095836,-2.18057e-17)
(0.013462,-1.67808e-17)
(-0.0121687,-3.3066e-17)
(0.005744,4.5311e-17)
(0.00366896,-4.08205e-18)
(-0.0125052,1.93433e-17)
