(5.45581e-05,-5.93175e-05)
(0.000279952,1.51049e-05)
(2.3218e-05,-0.000191273)
(-0.000135144,-0.000418747)
(0.000171232,-0.000279425)
(0.000539074,0.000214268)
(0.000379578,0.000601782)
(-0.000219073,0.000493385)
(-0.000584902,2.48907e-05)
(-0.000366273,-0.000312827)
(3.71878e-05,-0.000255768)
(9.6819e-05,-3.94233e-05)
(-9.70129e-05,-3.95023e-05)
(-3.74116e-05,-0.000257307)
(0.000369954,-0.000315971)
(0.000593149,2.52416e-05)
(0.000223052,0.000502346)
(-0.000388021,0.000615169)
(-0.000553275,0.000219912)
(-0.000176447,-0.000287935)
(0.000139818,-0.000433231)
(-2.41173e-05,-0.000198682)
(-0.000291962,1.57529e-05)
(-5.71268e-05,-6.21103e-05)
(0.000557322,-0.00023085)
(0.000757002,-0.000107947)
(0.000159018,0.000322069)
(-0.00059895,0.000621488)
(-0.000645514,0.000411169)
(-3.5952e-05,-0.000149751)
(0.000330205,-0.000523359)
(-3.10493e-05,-0.000407426)
(-0.00049106,-5.34062e-05)
(-0.000194264,9.07888e-05)
(0.000662514,-5.2141e-05)
(0.000978402,-0.000129639)
(0.000220075,0.000130193)
(-0.000775371,0.000507531)
(-0.000837954,0.000525599)
(-4.14701e-06,5.26927e-05)
(0.000540802,-0.000488951)
(8.58004e-05,-0.000588996)
(-0.00061928,-0.000227822)
(-0.000403307,0.000138527)
(0.000643771,0.000154556)
(0.00118087,-2.50849e-05)
(0.000391767,3.4791e-06)
(-0.000851143,0.000315105)
(-0.00106731,0.000516967)
(-0.00010079,0.000243329)
(0.000693471,-0.000339668)
(0.000288636,-0.000674141)
(-0.000626033,-0.00044674)
(-0.000608992,5.63467e-05)
(0.000505814,0.000309963)
(0.00129231,0.000172116)
(0.000616207,-3.22753e-06)
(-0.00079656,0.000118412)
(-0.00125354,0.000384929)
(-0.000296702,0.000347393)
(0.000729332,-0.0001303)
(0.000504716,-0.000628189)
(-0.000505839,-0.000629587)
(-0.000734211,-0.000131171)
(0.000300017,0.000351275)
(0.00127319,0.000390964)
(0.000812652,0.000120804)
(-0.000631456,-3.3074e-06)
(-0.00133019,0.000177161)
(-0.00052296,0.00032047)
(0.000632441,5.85163e-05)
(0.000653035,-0.000466009)
(-0.000302428,-0.000706352)
(-0.000729845,-0.000357485)
(0.000106549,0.000257233)
(0.00113333,0.000548944)
(0.000907821,0.000336088)
(-0.000419718,3.72732e-06)
(-0.00127076,-2.69945e-05)
(-0.000695868,0.000167063)
(0.00043789,0.000150405)
(0.000675382,-0.000248461)
(-9.39909e-05,-0.000645221)
(-0.000595071,-0.000538017)
(4.58354e-06,5.82393e-05)
(0.000930296,0.000583519)
(0.000864661,0.000565978)
(-0.000246515,0.000145835)
(-0.00110085,-0.000145863)
(-0.000748758,-5.89286e-05)
(0.000220534,0.000103066)
(0.000559961,-6.08996e-05)
(3.55643e-05,-0.00046667)
(-0.000379914,-0.000602145)
(4.15493e-05,-0.000173065)
(0.000749354,0.000477311)
(0.000698415,0.000724696)
(-0.000186256,0.000377236)
(-0.000890645,-0.000127004)
(-0.000658653,-0.000272823)
(6.78164e-05,-7.37324e-05)
(0.00034815,1.87846e-05)
(2.88878e-05,-0.000237982)
(-0.000168227,-0.000521255)
(0.000213252,-0.000347995)
(0.000671688,0.000266978)
(0.000473185,0.000750187)
(-0.000273232,0.000615359)
(-0.00072986,3.10594e-05)
(-0.000457273,-0.000390548)
(4.645e-05,-0.000319471)
(0.000120994,-4.92669e-05)
(-0.000121296,-4.93902e-05)
(-4.67997e-05,-0.000321876)
(0.000463025,-0.00039546)
(0.000742745,3.16077e-05)
(0.00027945,0.000629362)
(-0.000486379,0.000771105)
(-0.000693878,0.000275799)
(-0.000221402,-0.000361295)
(0.000175532,-0.00054389)
(-3.02933e-05,-0.000249561)
(-0.00036692,1.97973e-05)
(-7.18313e-05,-7.80975e-05)
(0.000701147,-0.000290425)
(0.000952863,-0.000135876)
(0.000200267,0.000405615)
(-0.000754724,0.000783124)
(-0.000813835,0.000518383)
(-4.53512e-05,-0.000188902)
(0.00041676,-0.000660544)
(-3.92095e-05,-0.000514502)
(-0.000620457,-6.7479e-05)
(-0.000245588,0.000114775)
(0.000838014,-6.59532e-05)
(0.00123827,-0.000164072)
(0.000278683,0.000164866)
(-0.000982412,0.000643054)
(-0.00106231,0.000666321)
(-5.2603e-06,6.68384e-05)
(0.000686374,-0.000620566)
(0.000108958,-0.000747969)
(-0.000786879,-0.000289479)
(-0.000512753,0.000176119)
(0.000818947,0.000196612)
(0.00150307,-3.19294e-05)
(0.000498954,4.43097e-06)
(-0.00108465,0.000401553)
(-0.00136093,0.000659186)
(-0.000128594,0.000310454)
(0.000885302,-0.000433629)
(0.000368702,-0.000861142)
(-0.000800173,-0.000571007)
(-0.000778864,7.2064e-05)
(0.0006473,0.000396666)
(0.00165481,0.000220396)
(0.000789542,-4.13542e-06)
(-0.00102126,0.000151814)
(-0.00160815,0.00049382)
(-0.000380873,0.000445945)
(0.000936824,-0.000167369)
(0.000648715,-0.000807416)
(-0.000650571,-0.000809726)
(-0.000944888,-0.00016881)
(0.000386353,0.000452361)
(0.00164064,0.000503796)
(0.00104786,0.000155769)
(-0.000814753,-4.26746e-06)
(-0.00171743,0.000228737)
(-0.000675649,0.000414038)
(0.000817636,7.56514e-05)
(0.000844823,-0.00060287)
(-0.000391508,-0.000914409)
(-0.000945456,-0.000463093)
(0.00013812,0.00033345)
(0.00147013,0.000712078)
(0.00117841,0.000436263)
(-0.000545195,4.84162e-06)
(-0.00165179,-3.50888e-05)
(-0.000905152,0.000217308)
(0.000569983,0.000195776)
(0.000879733,-0.000323639)
(-0.000122516,-0.000841039)
(-0.000776219,-0.000701797)
(5.98309e-06,7.60223e-05)
(0.00121523,0.000762239)
(0.0011303,0.000739858)
(-0.000322482,0.000190777)
(-0.00144114,-0.000190952)
(-0.000980932,-7.7201e-05)
(0.00028913,0.000135124)
(0.000734675,-7.9901e-05)
(4.66955e-05,-0.000612733)
(-0.000499196,-0.000791201)
(5.46357e-05,-0.000227574)
(0.000986116,0.00062812)
(0.000919782,0.000954394)
(-0.000245479,0.000497184)
(-0.00117474,-0.000167516)
(-0.000869422,-0.000360127)
(8.95873e-05,-9.74025e-05)
(0.000460275,2.48343e-05)
(3.82215e-05,-0.000314874)
(-0.000222757,-0.00069022)
(0.000282602,-0.000461165)
(0.000890836,0.000354084)
(0.000628074,0.000995747)
(-0.000362963,0.000817447)
(-0.000970341,4.12931e-05)
(-0.000608437,-0.000519654)
(6.18563e-05,-0.000425431)
(0.000161258,-6.56618e-05)
(-0.000161796,-6.58811e-05)
(-6.24779e-05,-0.000429707)
(0.000618663,-0.000528388)
(0.000993249,4.2268e-05)
(0.000374018,0.000842344)
(-0.000651534,0.00103294)
(-0.000930293,0.000369767)
(-0.000297094,-0.000484814)
(0.000235748,-0.000730473)
(-4.07213e-05,-0.000335468)
